SSID,MAC,X,Y,Z,Covariance
CARE-TB-15106e798aa44361,e4:b3:18:e8:78:3a,-4.7998649179935455,-9.78779536485672,0.658434740267694,"[12.798785779158319, 10.55409311375227, -0.3380991884592042, 10.55409311375227, 30.08865544531676, 0.032524414652620834, -0.3380991884592042, 0.032524414652620834, 0.01411760652770179]"
CARE-TB-2dbc348a4f7c4b7b,f4:b3:1:6d:d1:a7,-5.110129509653364,-10.633465826511383,0.6569203447018351,"[13.256119084346116, 10.172866702414417, -0.36584263489464036, 10.172866702414417, 28.52850656916805, 0.017296706306881474, -0.36584263489464036, 0.017296706306881474, 0.015101470793523657]"
CARE-TB-51b6269178ed47c1,a4:34:d9:9f:f0:29,-5.034534800437189,-9.951965270503875,0.6651728355115459,"[11.449411317314889, 9.661724291636864, -0.2984063172927699, 9.661724291636864, 30.196800980429096, 0.06897174805242555, -0.2984063172927699, 0.06897174805242555, 0.013120151509398655]"
DIRECT-273CE938,fa:d0:27:3c:69:38,-4.972256561120351,-10.286469999949137,0.6584241439898809,"[13.122982639268614, 9.84706713940006, -0.3590892398917993, 9.84706713940006, 28.092666488699624, 0.03564476536244176, -0.3590892398917993, 0.03564476536244176, 0.015012215207882628]"
DIRECT-f4-HP M209 LaserJet,5e:fb:3a:a9:33:f4,-6.769826991217477,-15.061766386032104,0.6571411511727742,"[5.982027266713331, -1.9617005030565338, -0.22713298635921403, -1.9617005030565338, 10.654171149617557, 0.23941667210338582, -0.22713298635921403, 0.23941667210338582, 0.012104204731817864]"
FASTWEB-1-271185,e0:b9:e5:27:11:85,-1.5348312854766846,-1.539939532832553,0.6276514331499735,"[1.4580485279581787, 1.3943774837915648, -0.05782063419637258, 1.3943774837915648, 1.4096085968425422, -0.05787699857115294, -0.05782063419637258, -0.05787699857115294, 0.002380478747507513]"
HANDHY,4e:66:ff:83:94:6a,-2.628012776374817,-3.8681021332740784,0.6690355092287064,"[4.206662099924998, -1.4706916328698085, -0.17020740943489976, -1.4706916328698085, 0.9608199143057838, 0.06740031562356652, -0.17020740943489976, 0.06740031562356652, 0.0071021266068747035]"
HANDHY,4e:47:ff:83:95:4b,-4.833322810090107,-11.625745337942373,0.6317478923693948,"[15.668442927176816, 12.574736188154667, -0.41391088312150137, 12.574736188154667, 27.19900515452706, -0.08904426921328787, -0.41391088312150137, -0.08904426921328787, 0.015211401209676971]"
HANDHY,4e:68:ff:8e:2b:6c,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HANDHY,4e:46:ff:83:95:4a,-6.168823599815369,-13.812066078186035,0.6573989152908325,"[9.82990096679439, 3.399722181286055, -0.2980469487793686, 3.399722181286055, 18.487903649645006, 0.15880986274205214, -0.2980469487793686, 0.15880986274205214, 0.013812346268152023]"
HANDHY,4e:65:ff:83:94:69,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HANDHY,4e:3b:ff:83:95:3f,-4.257194722852399,-9.114778808062717,0.6250393707906047,"[13.44630289622702, 12.848019127869318, -0.4295921041259505, 12.848019127869318, 35.794646712201164, -0.1868806893440779, -0.4295921041259505, -0.1868806893440779, 0.02675292685865491]"
HANDHY,4e:c1:ff:8e:2b:c5,-7.058511058489482,-16.25380023320516,0.6531514972448349,"[7.549080152528526, -4.696942393687771, -0.3622367514464771, -4.696942393687771, 3.3379866488653285, 0.22840030690686555, -0.3622367514464771, 0.22840030690686555, 0.017778807356366423]"
HANDHY,4e:3a:ff:83:95:3e,-3.8710369940461784,-8.80967646325007,0.6143211568224018,"[12.571470377156858, 12.83604968014291, -0.38752368199140236, 12.83604968014291, 36.43788970927873, -0.173215343443503, -0.38752368199140236, -0.173215343443503, 0.026211040333222822]"
